psraid,sample,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,pial1e,pial2,pial3a,pial3b,pial3c,pial4,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100621,1,17,2,S,1,2,1,1,2,1,1,1,1,1,1,1,1,35,8,2,1,9,3.02439024390244,1.00835125505566
100622,1,17,2,U,1,2,2,2,2,2,2,4,4, ,2,2,1,99,4,2,2,99,2.48780487804878,.829450225932882
100623,1,55,2,U,1,2,2,2,2,2,2,2,2, ,1,2,1,69,5,2,1,6,2.02439024390244,.674944791690483
100631,1,50,1,U,2,2,2,1,2, , , , , ,3,2,1,82,3,2,1,3,4.48780487804878,1.49626315266324
100634,1,39,2,S,1,1,2,1,2,2,2,4,4, ,2,2,2,66,4,2,1,99,2.29268292682927,.764395306251872
100635,1,21,3,R,1,2,2,2,2,2,2,2,2, ,2,2,2,56,3,2,1,2,2.19512195121951,.731867846411367
100639,1,42,1,S,1,1,1,1,1,2,2,2,2, ,3,2,1,70,3,2,1,5,2.48780487804878,.829450225932882
100641,1,36,1,S,2,2,2,2,2, , , , , ,3,2,2,84,1,2,2,99,2.17073170731707,.72373598145124
100643,1,34,1,S,1,2,2,2,2,2,1,2,2, ,3,2,2,81,6,2,1,99,2.07317073170732,.691208521610735
100652,1,23,1,R,2,2,2,2,2, , , , , ,3,2,2,83,4,2,1,4,1.39024390243902,.463516302727199
100661,1,42,1,S,1,1,1,2,2,1,2,1,1,1,3,2,1,59,3,2,1,99,2.53658536585366,.845713955853135
100670,1,24,3,S,1,2,2,2,1,2,1,2,2, ,3,1,2,35,4,2,1,3,7.14634146341463,2.382636433317
100673,1,42,1,S,1,1,1,1,2,1,2,2,2, ,3,2,2,65,6,2,1,8,1.65853658536585,.552966817288588
100686,1,18,2,R,1,2,2,2,2,8,2,2,2, ,3,2,1,78,3,2,1,2,1.34146341463415,.447252572806946
100697,1,12,3,S,1,2,2,2,2,2,2,2,2, ,3,2,1,81,4,2,1,2,1.29268292682927,.430988842886694
100699,1,51,3,S,1,2,2,2,2,2,2,2,2, ,3,2,2,88,3,2,1,99,1.29268292682927,.430988842886694
100704,1,37,3,S,2,1,1,1,1, , , , , ,3,2,1,18,3,1,4,3,7.14634146341463,2.382636433317
100708,1,21,3,R,1,1,2,1,1,2,2,2,2, ,3,1,1,21,3,2,1,4,1.5609756097561,.520439357448083
100711,1,13,3,R,1,1,1,2,2,2,2,2,2, ,3,2,2,75,6,2,1,8,1,.333406463365178
100717,1,12,3,S,1,2,2,2,2,1,2,2,2, ,3,2,1,67,4,2,1,6,1.92682926829268,.642417331849977
100721,1,37,3,R,2,2,2,2,2, , , , , ,3,2,2,92,6,2,1,99,1.19512195121951,.398461383046189
100722,1,21,3,R,2,2,2,2,2, , , , , ,3,2,1,54,2,2,1,4,7.14634146341463,2.382636433317
100724,1,25,1,S,1,1,2,2,2,2,2,2,2, ,1,2,2,56,8,2,1,8,2.24390243902439,.748131576331619
100728,1,9,1,S,1,2,2,2,2,2,2,2,2, ,3,2,2,70,6,2,3,3,2.1219512195122,.707472251530988
100730,1,39,2,S,1,1,2,2,1,1,2,2,1,1,1,2,2,58,5,2,1,6,1.24390243902439,.414725112966441
100732,1,37,3,S,1,2,2,2,2,2,2,2,2, ,3,2,2,82,3,2,1,99,1.65853658536585,.552966817288588
